iter	Passed	Remaining
541	3791	3204
542	3798	3197
543	3805	3190
544	3812	3182
545	3819	3175
546	3826	3169
547	3834	3162
548	3840	3155
549	3847	3148
550	3855	3141
551	3862	3134
552	3869	3127
553	3876	3120
554	3883	3113
555	3890	3106
556	3897	3099
557	3903	3092
558	3911	3085
559	3918	3078
560	3925	3071
561	3932	3064
562	3938	3057
563	3944	3049
564	3950	3041
565	3955	3033
566	3961	3025
567	3967	3017
568	3972	3009
569	3978	3001
570	3986	2995
571	3992	2987
572	3998	2979
573	4004	2971
574	4009	2963
575	4015	2955
576	4021	2948
577	4027	2940
578	4033	2932
579	4038	2924
580	4045	2917
581	4051	2909
582	4056	2901
583	4062	2894
584	4068	2886
585	4074	2878
586	4079	2870
587	4085	2862
588	4091	2855
589	4096	2846
590	4102	2839
591	4108	2831
592	4114	2823
593	4119	2815
594	4125	2808
595	4131	2800
596	4137	2793
597	4143	2785
598	4149	2777
599	4154	2769
600	4160	2762
601	4167	2755
602	4173	2747
603	4179	2740
604	4185	2732
605	4191	2725
606	4197	2717
607	4203	2710
608	4209	2702
609	4214	2694
610	4220	2687
611	4226	2679
612	4232	2672
613	4238	2664
614	4244	2657
615	4250	2649
616	4255	2641
617	4261	2634
618	4267	2626
619	4272	2618
620	4278	2611
621	4284	2604
622	4290	2596
623	4296	2588
624	4302	2581
625	4308	2573
626	4313	2566
627	4319	2558
628	4325	2551
629	4330	2543
630	4336	2535
631	4341	2528
632	4350	2522
633	4356	2514
634	4362	2507
635	4367	2499
636	4373	2492
637	4379	2484
638	4385	2477
639	4390	2469
640	4396	2462
641	4402	2454
642	4408	2447
643	4413	2440
644	4419	2432
645	4425	2425
646	4431	2417
647	4436	2410
648	4442	2402
649	4449	2395
650	4455	2388
651	4461	2381
652	4467	2374
653	4473	2366
654	4479	2359
655	4485	2352
656	4491	2344
657	4497	2337
658	4503	2330
659	4509	2322
660	4514	2315
661	4520	2307
662	4526	2300
663	4531	2293
664	4537	2285
665	4543	2278
666	4549	2271
667	4554	2263
668	4560	2256
669	4566	2249
670	4572	2241
671	4577	2234
672	4583	2227
673	4589	2219
